Maps/kanto_cities.png
967,967,967,892,893,894,967,967,967,967,967,967,967,967,967,967,935,936,935,936,935,936,7,15,7,935,936,935,936,935,936,935,936,935,936,967,967,967,967,967,967,967,967,967,967,967,967,967,967,967,
925,924,925,900,901,902,967,967,967,967,967,967,892,893,894,967,943,944,943,944,943,944,7,7,7,943,944,943,944,943,944,943,944,943,944,967,967,967,967,967,967,892,893,894,967,967,967,967,967,967,
933,932,933,921,922,923,924,925,924,925,924,925,900,901,902,926,935,936,935,936,924,925,7,15,7,935,936,935,936,935,936,935,936,935,936,924,925,924,925,924,925,900,901,902,926,924,925,924,925,924,
936,935,936,929,930,931,932,933,932,933,932,933,921,922,923,926,943,944,943,944,932,933,7,7,15,943,944,943,944,943,944,943,944,943,944,932,933,932,933,932,933,921,922,923,926,932,933,932,933,932,
944,943,944,61,61,61,951,952,951,952,951,952,929,930,931,934,951,952,951,952,951,952,7,7,15,951,952,951,952,951,952,951,952,951,952,951,952,951,952,951,952,929,930,931,934,951,952,951,952,935,
936,935,936,61,61,6,6,6,6,6,6,61,61,61,61,61,61,61,61,6,61,61,6,6,3,3,3,3,6,3,6,6,6,3,3,6,6,6,3,3,3,3,3,6,6,3,3,3,6,943,
944,943,944,6,61,61,6,6,6,6,6,6,6,61,61,61,61,61,61,61,61,6,6,6,3,3,3,3,3,3,3,6,6,6,6,6,6,6,3,6,6,6,3,6,3,6,3,3,6,935,
936,935,936,6,61,61,61,61,61,6,61,61,61,6,61,61,61,6,61,61,61,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,3,3,3,3,6,3,3,6,6,6,6,6,943,
944,943,944,6,6,61,61,61,6,61,1817,1818,1819,1820,1820,1821,61,61,6,6,61,61,6,3,6,3,3,3,6,3,3,6,6,3,3,3,3,6,61,6,3,6,6,6,6,6,6,6,6,935,
936,935,936,61,61,61,61,61,6,1320,1825,1826,1827,1828,1828,1829,1319,61,6,61,61,6,3,61,6,61,3,6,3,3,6,6,3,6,3,3,3,3,3,3,6,6,3,3,6,6,3,6,6,943,
944,943,944,61,61,61,61,61,61,1320,1833,1834,1835,1836,1836,1837,1319,61,6,61,61,6,6,61,61,6,6,6,3,3,6,3,6,6,3,61,61,3,3,3,6,3,3,3,3,3,6,6,6,935,
936,935,936,61,6,61,61,61,61,1320,1841,1842,1843,1843,1844,1845,1319,61,6,61,6,6,61,61,61,6,3,3,6,3,3,6,6,6,3,61,61,61,61,1905,1906,1907,1908,1909,61,61,3,6,3,943,
944,943,944,61,6,61,61,61,61,1320,1849,1850,1851,1843,1852,1853,1319,3,3,61,61,61,61,61,61,61,6,61,3,61,61,3,3,3,61,61,61,61,61,1913,1914,1915,1916,1917,1319,61,3,6,6,935,
